the_geom,L_LOW_HN,PHYSICALID,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,L_BLKFC_ID,R_BLKFC_ID,ST_LABEL,STATUS,BIKE_LANE,BOROCODE,ST_WIDTH,CREATED,MODIFIED,TRAFDIR,RW_TYPE,FRM_LVL_CO,TO_LVL_CO,SNOW_PRI,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE,ST_NAME,BIKE_TRAFD,SHAPE_Leng
"MULTILINESTRING ((-73.93666142761384 40.85044732520501, -73.93620370000076 40.85136331508886, -73.93615190296994 40.85146696770021, -73.93571740885848 40.852335152313174))",2,183608,64,1,59,10033,10033,1322603480,1322603144,BENNETT AVE,2,,1,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,1,13,13,H,,,,AVE,,,BENNETT AVE,BENNETT,,735.721079105
"MULTILINESTRING ((-74.10030339455496 40.6254964172927, -74.10210852537938 40.62530045962955))",2,96186,60,1,57,10301,10301,1622611887,1622602838,SILVER CT,2,,5,44,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,H,,,,CT,,,SILVER CT,SILVER,,506.148541209
"MULTILINESTRING ((-73.97155530513315 40.592560457556175, -73.9706285787014 40.592663433337044))",313,39179,335,314,336,11223,11223,1822602298,1822600731,AVE W,2,,3,44,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,AVE,,,,AVE W,W,,260.097328496
"MULTILINESTRING ((-73.78355276056253 40.757772743361535, -73.78338071525745 40.75775389674447))",,9677,,,,11358,11358,0,0,NORTHERN BLVD,2,,4,60,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,TW,1,13,13,C,,,,,E,,NORTHERN BL  E,NORTHERN BL,,48.1555830005
"MULTILINESTRING ((-73.9595835066948 40.61561981432337, -73.95902706972818 40.6156771695396))",1501,46804,1511,1500,1512,11230,11230,1822604552,1822603743,AVE N,2,,3,42,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,AVE,,,,AVE N,N,,155.891337267
"MULTILINESTRING ((-73.84325158020903 40.72563673509544, -73.84103441720549 40.72629644389054))",110-001,14013,111-099,110-000,111-098,11375,11375,92264080,92265719,69 AVE,2,,4,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,,AVE,,,69 AVE,69,,659.867714428
"MULTILINESTRING ((-73.94431476005776 40.76275349098546, -73.94426618982153 40.76272988287781, -73.94421734724007 40.762706603135875, -73.9441682340736 40.76268365410549, -73.94411885538804 40.76266103712901, -73.9440692147065 40.762638754218116, -73.94401931555217 40.762616807216965, -73.9439691627705 40.7625951976353, -73.94391875988521 40.76257392664723, -73.9438681104183 40.762552997437076, -73.94381721899612 40.76253241000683, -73.94376608892088 40.762512166870614, -73.94371472547844 40.762492269706016, -73.9436631315316 40.76247271951925, -73.94262818837811 40.76209591826289, -73.94247180541667 40.76199390314667))",,146179,,,,11106,11106,0,0,ROOSEVELT IS BR PED & BIKE PATH,2,4,4,0,06/04/2012 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,NV,3,17,13,V,,,,PATH,,,ROOSEVELT IS BR PED & BIKE PATH,ROOSEVELT IS BR PED & BIKE,TW,582.553002336
"MULTILINESTRING ((-74.07278357547311 40.61452044211357, -74.07245782037174 40.61407824917956))",455,54216,467,462,478,10305,10305,1622610078,1622609842,TOMPKINS AVE,2,,5,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,TOMPKINS AVE,TOMPKINS,,184.753102668
"MULTILINESTRING ((-73.89302801266658 40.6723144910765, -73.89293680708649 40.67232804552531, -73.89285521112042 40.672340171796954, -73.89254729911185 40.67238592985013, -73.89246068645181 40.67239880101152, -73.89212328174933 40.67244894019676))",2153,70669,2175,2154,2176,11207,11207,2022602185,2022611444,PITKIN AVE,2,2,3,50,06/16/2009 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,PITKIN AVE,PITKIN,TW,255.704060819
"MULTILINESTRING ((-73.9521197677625 40.69729733499779, -73.95206780106747 40.69707831544684, -73.95201499472522 40.69688688777055, -73.95190920811474 40.69674580754654))",,151483,,,,11206,11206,1922600380,1922600370,MARCY HOUSES PEDESTRIAN PATH,2,,3,18,08/22/2012 12:00:00 AM +0000,02/05/2016 12:00:00 AM +0000,NV,6,13,13,,,,,PATH,,,MARCY HOUSES PEDESTRIAN PATH,MARCY HOUSES PEDESTRIAN,,211.530541942
