the_geom,L_LOW_HN,PHYSICALID,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,L_BLKFC_ID,R_BLKFC_ID,ST_LABEL,STATUS,BIKE_LANE,BOROCODE,ST_WIDTH,CREATED,MODIFIED,TRAFDIR,RW_TYPE,FRM_LVL_CO,TO_LVL_CO,SNOW_PRI,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE,ST_NAME,BIKE_TRAFD,SHAPE_Leng
"MULTILINESTRING ((-73.94968682996546 40.79621698487826, -73.94918568582632 40.79600447773409, -73.94904329476765 40.795941273538325, -73.94808516529754 40.795536417729416))",1,179568,7,10,8,10029,10029,1322605102,1322606181,E 109 ST,2,,1,30,11/29/2007 12:00:00 AM +0000,03/28/2017 12:00:00 AM +0000,TF,1,13,13,C,,E,,ST,,,E  109 ST,109,,508.092565157
"MULTILINESTRING ((-73.86674371018373 40.7612501016895, -73.86634632337248 40.76128164501665))",102-051,9063,102-099,102-050,102-098,11369,11369,112268839,112268411,31 AVE,2,,4,44,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,,AVE,,,31 AVE,31,,110.684715287
"MULTILINESTRING ((-73.93191507377053 40.8467105236121, -73.93185010295767 40.84680263276957))",,3904,,,,10033,10033,1322607017,1322608388,AMSTERDAM AVE,2,3,1,60,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,AMSTERDAM AVE,AMSTERDAM,TW,38.0698690576
"MULTILINESTRING ((-73.8057636493468 40.78931325156666, -73.80602233852794 40.78723973911374))",14-001,97577,14-071,14-000,14-070,11357,11357,112265911,112261198,156 ST,2,,4,24,11/29/2007 12:00:00 AM +0000,02/11/2020 12:00:00 AM +0000,TF,1,13,13,H,,,,ST,,,156 ST,156,,758.840420916
"MULTILINESTRING ((-73.91289485519265 40.77268452815094, -73.91335910964906 40.77230357827777, -73.91431027353217 40.7715230667275))",23-041,82121,23-099,23-040,23-098,11105,11105,102267657,102265098,33 ST,2,,4,36,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,1,13,13,S,,,,ST,,,33 ST,33,,576.855366299
"MULTILINESTRING ((-73.99574855573138 40.749052196220944, -73.99529821527037 40.74967168209748))",383,1121,401,380,400,10001,10001,1222602213,1222602759,8 AVE,2,1,1,68,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,,AVE,,,EIGHTH AVE,EIGHTH,FT,257.894368484
"MULTILINESTRING ((-73.96106754453669 40.76085809262594, -73.95880955474563 40.75991278601397))",401,21835,499,400,498,10065,10065,1222605088,1222604842,E 61 ST,2,,1,35,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,C,,E,,ST,,,E  61 ST,61,,714.075355588
"MULTILINESTRING ((-73.85078601824983 40.83748790746737, -73.85100798435569 40.83764745583972))",,56201,,,,10462,10462,1422601380,1422601346,GLOVER ST,2,,2,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,S,,,,ST,,,GLOVER ST,GLOVER,,84.5661737046
"MULTILINESTRING ((-73.84694843819304 40.74379560559214, -73.84689996093407 40.743689371404216))",,7136,,,,11355,11355,92260988,92265683,GRAND CENTRAL PKWY,2,,4,60,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,2,13,13,C,,,,,,,GCP,GCP,,40.9693038881
"MULTILINESTRING ((-73.91387690387846 40.61543180665265, -73.91219804885482 40.61392229883567))",2101,70713,2185,2100,2182,11234,11234,22261855,22260919,MILL AVE,2,,3,80,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,MILL AVE,MILL,,720.907142084
"MULTILINESTRING ((-73.87008680132811 40.66803870466719, -73.8700083086886 40.668098897967305, -73.86980873525816 40.66825194356301, -73.86967662750403 40.668341529730284, -73.8696529848478 40.66835805053098, -73.86962900390998 40.66837428731843, -73.86960469196129 40.668390234907235, -73.86958005384838 40.668405890119686, -73.86955509618036 40.66842124860734, -73.86952982490367 40.668436307361226, -73.86950424640807 40.66845106169757, -73.86947836620034 40.668465508439425, -73.8694521917684 40.66847964390945, -73.86942572905878 40.66849346509868, -73.8693989848997 40.668506968161545, -73.86937196523839 40.66852014975401, -73.86934467734086 40.66853300720372, -73.86931712759538 40.668545536664574, -73.86928932238858 40.66855773512815, -73.86926127008792 40.6685695992532, -73.86884295908753 40.668661543155835, -73.86854797686873 40.66869900097849, -73.86836398054677 40.66872197898946, -73.86832941339517 40.668726882849846))",,172130,,,,11208,11208,2022613704,2022600281,LINDEN BLVD,2,,3,32,11/29/2007 12:00:00 AM +0000,01/09/2020 12:00:00 AM +0000,TF,1,13,13,C,,,,BLVD,,,LINDEN BLVD,LINDEN,,566.211857214
"MULTILINESTRING ((-73.76526692862191 40.652478508527096, -73.76533595254416 40.65251253224606, -73.76540467990475 40.65254690277316, -73.76547310763242 40.65258161792478, -73.76554123353229 40.65261667652432, -73.76560905365028 40.65265207722396, -73.76567656469456 40.65268781800721, -73.7657437655694 40.65272389786723, -73.76581065100322 40.65276031478347, -73.76587721946149 40.65279706741308, -73.76594346853213 40.6528341537414, -73.76600939403806 40.65287157325788, -73.76607499356892 40.65290932344522, -73.7661402640521 40.652947402454906, -73.76620520329303 40.65298580894283, -73.76626980843845 40.65302454122845, -73.76633407597396 40.653063597964916, -73.76639800304919 40.65310297663413, -73.76646158790764 40.65314267639542, -73.76652482659672 40.653182695398485, -73.76658771758633 40.65322303096036, -73.76665025735963 40.65326368240433, -73.76671244262617 40.65330464721141, -73.76677427185052 40.65334592420628, -73.76683574151929 40.65338751170715, -73.76689684922297 40.653429406861704, -73.7669575927656 40.65347160866089, -73.76701796907481 40.65351411508871, -73.76707797463654 40.653556924630884, -73.76713760792163 40.653600034269346, -73.76719686695047 40.65364344400067, -73.76725574733724 40.65368714996341, -73.76731424820446 40.65373115148624, -73.76737236560034 40.65377544638386, -73.76743009777213 40.653820032642955, -73.76748744274657 40.653864908417326, -73.76754439679114 40.65391007168964, -73.76760095771432 40.653955520110635, -73.76765712354036 40.65400125250421, -73.7677128914207 40.65404726568211, -73.7677682589373 40.65409355913748, -73.76782322412198 40.65414012951632, -73.76787778477839 40.65418697580961, -73.76793193717506 40.65423409566498, -73.76798568022124 40.65428148640036, -73.76803901150059 40.654329147006244, -73.76809192728385 40.6543770744602, -73.76814442713724 40.654425266919084, -73.76819650754737 40.65447372253355, -73.76824816676235 40.65452243895527, -73.76829940280676 40.65457141484058, -73.76835021261235 40.6546206468333, -73.76840059442539 40.654670133087606))",0,20935,0,250,250,11430,11430,32261456,32260305,EASTERN RD,2,,4,35,11/29/2007 12:00:00 AM +0000,07/10/2019 12:00:00 AM +0000,TW,1,13,13,V,,,,RD,,,EASTERN RD,EASTERN,,1186.33034562
"MULTILINESTRING ((-73.8996715580021 40.855668908397206, -73.89906700634836 40.85711882035199))",2231,97998,2299,2230,2298,10457,10457,1522608133,1522604663,RYER AVE,2,,2,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,1,13,13,C,,,,AVE,,,RYER AVE,RYER,,554.09880258
"MULTILINESTRING ((-74.10608995766407 40.581832989160056, -74.10674914632898 40.581339800312186))",0,63908,0,1015,1039,10306,10306,1722605342,1722609437,N RAILROAD AVE,2,2,5,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,N,,AVE,,,N  RAILROAD AVE,RAILROAD,FT,256.539896822
"MULTILINESTRING ((-74.13495514858043 40.577951253700064, -74.13822933957697 40.57713909439506))",226,69322,334,225,329,10306,10306,1722613708,1722608394,EDINBORO RD,2,,5,20,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,C,,,,RD,,,EDINBORO RD,EDINBORO,,956.457035698
"MULTILINESTRING ((-74.06017692705574 40.59973945974882, -74.05969689841224 40.599839668565))",,104354,,,,10305,10305,0,0,UNNAMED ST,2,,5,0,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,V,,,,ST,,,UNNAMED ST,UNNAMED,,138.211865272
"MULTILINESTRING ((-73.83366912837135 40.68142057163015, -73.83279303943576 40.68167297753004))",107-001,5315,107-099,107-000,107-098,11417,11417,62260471,62262759,107 AVE,2,,4,45,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,107 AVE,107,,259.808598555
"MULTILINESTRING ((-73.94324542439227 40.76790621913489, -73.94299356982305 40.76819089133, -73.94297950727766 40.76820822445321, -73.9429649863737 40.768225337386525, -73.94295001284526 40.768242223934166, -73.94293459264823 40.76825887622521, -73.94291873283939 40.768275287394424, -73.94290243937267 40.768291451916205, -73.94288571864459 40.768307362087384, -73.94286857793176 40.76832301171293, -73.94285102451099 40.768338394430295, -73.94283306477756 40.768353504043986, -73.94281470666934 40.768368334191806, -73.94279595746262 40.76838287918129, -73.94277682509605 40.76839713181261, -73.9427573175057 40.76841108790137, -73.94258900640158 40.76852492296421))",,132316,,,,10044,10044,0,0,ROOSEVELT ISLAND GREENWAY,2,1,1,0,05/24/2011 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,NV,6,13,13,,,,,,,,ROOSEVELT IS GREENWAY,ROOSEVELT IS GREENWAY,TW,291.270268205
"MULTILINESTRING ((-73.92266486034698 40.73453633973363, -73.92251696012853 40.73443838203434))",,11034,,,,11378,11378,82260406,102260837,LONG ISLAND EXPY,2,,4,36,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,FT,2,13,13,C,,,,EXPY,,,LI EXPY,LI,,54.3487024335
"MULTILINESTRING ((-73.93048219248229 40.72732909645992, -73.93072254300613 40.72784107269007))",497,70440,517,494,508,11222,11222,1922615030,1922604318,SCOTT AVE,2,,3,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,V,,,,AVE,,,SCOTT AVE,SCOTT,,198.067761319
"MULTILINESTRING ((-74.00679907002781 40.73572292371414, -74.006620319663 40.736431696922914))",752,474,770,753,769,10014,10014,1222602864,1222602012,GREENWICH ST,2,2,1,38,11/29/2007 12:00:00 AM +0000,01/03/2019 12:00:00 AM +0000,FT,1,13,13,S,,,,ST,,,GREENWICH ST,GREENWICH,FT,262.936961672
"MULTILINESTRING ((-73.94990560557079 40.74780583280551, -73.95012543744542 40.74711258370337))",0,8329,0,45-000,45-020,11101,11101,102260924,102267598,11 ST,2,2,4,30,11/29/2007 12:00:00 AM +0000,04/14/2020 12:00:00 AM +0000,FT,1,13,13,C,,,,ST,,,11 ST,11,FT,259.813987428
"MULTILINESTRING ((-73.85215641756652 40.90424547547275, -73.8518465789276 40.90460155243289, -73.8515537958888 40.90496634955476, -73.85127868848863 40.90533913820651, -73.8510218160846 40.905719189508446, -73.85078365538942 40.90610572103132))",4701,57466,4799,4700,4798,10470,10470,1522605074,1522610887,MATILDA AVE,2,,2,28,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,S,,,,AVE,,,MATILDA AVE,MATILDA,,777.802676216
"MULTILINESTRING ((-73.99885784318774 40.70845537922061, -73.99880450295242 40.70848368991413, -73.99837261642809 40.708668100244026))",,176643,,,,10038,10038,212260069,212262080,FRANKLIN D ROOSEVELT DR,2,,1,12,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,2,17,17,C,,,,DR,,,F ROOSEVELT DR,F ROOSEVELT,,155.33004268
"MULTILINESTRING ((-73.74532770333595 40.6383722119698, -73.74676441700198 40.63759615379769, -73.74699518373022 40.636890834163424))",155-001,93163,155-063,155-000,155-064,11422,11422,32261102,32264217,BROAD ST,2,,4,20,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,H,,,,ST,,,BROAD ST,BROAD,,753.641201098
"MULTILINESTRING ((-73.87920043091658 40.72500849802659, -73.87875486840093 40.72521492150625, -73.87836814528673 40.72539408465021))",80-001,9888,80-099,80-000,80-098,11379,11379,92263860,92266988,ELIOT AVE,2,2,4,50,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,ELIOT AVE,ELIOT,TW,270.097478861
"MULTILINESTRING ((-73.93454533293875 40.814858247800224, -73.93437662519945 40.814863473986655))",,131341,,,,10037,10037,0,0,BIKE PATH,2,1,1,0,05/13/2011 12:00:00 AM +0000,04/14/2020 12:00:00 AM +0000,NV,6,13,13,,,,,PATH,,,BIKE PATH,BIKE,TW,46.7376276562
"MULTILINESTRING ((-74.13609497289907 40.63678218772406, -74.13612394244589 40.63606736556546))",151,60706,199,160,180,10302,10302,1622606035,1622605004,FABER ST,2,,5,34,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,S,,,,ST,,,FABER ST,FABER,,260.553093841
"MULTILINESTRING ((-73.87611895725796 40.64322895414109, -73.87610050256256 40.64326098347567, -73.87608204764476 40.6432930045981))",,37555,,,,11234,11234,42261145,2022609266,BELT PKWY,2,,3,32,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,2,9,9,C,,,,PKWY,,,BELT PKWY,BELT,,25.484453283
"MULTILINESTRING ((-73.88326524468019 40.71475042798359, -73.88238948343235 40.714836454029005))",72-001,31815,72-021,71-024,72-022,11379,11379,92262803,92262565,JUNIPER VALLEY RD,2,,4,40,11/29/2007 12:00:00 AM +0000,08/26/2019 12:00:00 AM +0000,TW,1,13,13,C,,,,RD,,,JUNIPER VALLEY RD,JUNIPER VALLEY,,244.792633702
"MULTILINESTRING ((-74.23994755952435 40.517253235361316, -74.23923276732565 40.51652688148755))",87,92124,111,84,110,10307,10307,1722600752,1722605543,HECKER ST,2,,5,38,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,C,,,,ST,,,HECKER ST,HECKER,,330.947552729
"MULTILINESTRING ((-73.98233704206189 40.6409761810143, -73.98014087200363 40.63964428926592))",1401,94542,1499,1400,1498,11218,11218,1922606527,1922612074,36 ST,2,,3,30,11/29/2007 12:00:00 AM +0000,10/13/2017 12:00:00 AM +0000,TF,1,13,13,C,,,,ST,,,36 ST,36,,779.072269819
"MULTILINESTRING ((-74.01030782032839 40.64874344057236, -74.0102481435529 40.648707379915265, -74.01017926721657 40.648665854264046))",,51260,,,,11220,11220,0,0,46 ST,2,,3,40,11/29/2007 12:00:00 AM +0000,01/03/2019 12:00:00 AM +0000,FT,1,13,13,S,,,,ST,,,46 ST,46,,45.5143750726
"MULTILINESTRING ((-74.15797566900122 40.6229155245507, -74.15804851019467 40.62271249234132))",72,101951,80,0,0,10303,10303,1622602434,1622612119,ADRIANNE LN,2,,5,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,V,,,,LN,,,ADRIENNE LN,ADRIENNE,,76.6840571637
"MULTILINESTRING ((-73.92459107319249 40.64664465671079, -73.9244366107178 40.64665409171077))",,68815,,,,11203,11203,0,0,BEVERLEY RD,2,,3,44,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,RD,,,BEVERLEY RD,BEVERLEY,,43.0013671162
"MULTILINESTRING ((-73.92482055857822 40.84470514260785, -73.924347808119 40.84470091849611, -73.92382233415807 40.84469622124092))",,41301,,,,10452,10452,1322600033,1322605508,CROSS BRONX EXPY,2,,2,36,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,2,13,13,C,,,,,,,CBE,CBE,,276.20685051
"MULTILINESTRING ((-73.76174798002303 40.60369566473548, -73.76220303470895 40.60495898538043))",10-043,16263,10-099,10-042,10-098,11691,11691,12263523,12263603,BAY 24 ST,2,,4,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,S,,,,ST,,,BAY 024 ST,BAY 024,,477.290391101
"MULTILINESTRING ((-73.751230818192 40.77193393199018, -73.75064016272985 40.771827493982144))",38-045,27552,38-047,38-028,38-046,11363,11363,112265217,112262883,WEST DR,2,,4,24,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,C,,,,DR,,,WEST DR,WEST,,168.134003175
"MULTILINESTRING ((-73.83079132646064 40.82698008134388, -73.83115827024496 40.82710036747257, -73.83213859255896 40.82824584378995))",0,58662,0,900,998,10465,10465,1422603534,1422605158,BALCOM AVE,2,,2,36,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,,AVE,,,BALCOM AVE,BALCOM,,608.377989457
"MULTILINESTRING ((-73.87147423505712 40.57134777993862, -73.87264057933854 40.57078324232528))",,14701,,,,11694,11694,12260890,12261074,BCH CHANNEL DR,2,,4,45,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,BCH,DR,,,BCH CHANNEL DR,CHANNEL,,383.794040182
"MULTILINESTRING ((-73.88621898975443 40.635058742907404, -73.88531978217323 40.63563420500593))",,155124,,,,11236,11236,0,0,BAY VIEW HOUSES PEDESTRIAN PATH,2,,3,0,11/16/2012 12:00:00 AM +0000,02/05/2016 12:00:00 AM +0000,NV,6,13,13,,,,,PATH,,,BAY VIEW HOUSES PEDESTRIAN PATH,BAY VIEW HOUSES PEDESTRIAN,,325.949960624
"MULTILINESTRING ((-73.83796488696848 40.65944928046898, -73.8375549311195 40.65777688129929))",159-001,84065,159-099,159-000,159-098,11414,11414,42261722,42262976,95 ST,2,,4,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,S,,,,ST,,,95 ST,95,,619.827483167
"MULTILINESTRING ((-73.93863715902025 40.750258798917415, -73.93798209237035 40.749972087267004, -73.93781162708929 40.74989747822046))",28-001,11415,28-099,0,0,11101,11101,102262753,102269021,QUEENS PLZ N,2,1,4,50,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,TF,1,13,13,C,,,,PLZ,N,,QUEENS PLZ N,QUEENS,TW,263.908558082
"MULTILINESTRING ((-73.9090225278503 40.8626828091028, -73.9089544283686 40.8627831794907, -73.90898364865087 40.86301073383417, -73.90905947641701 40.86309921016515))",,166780,,,,10468,10468,1322607483,1322605778,SEDGWICK AVE,2,,2,28,06/23/2015 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,FT,1,13,13,C,,,,AVE,,,SEDGWICK AVE,SEDGWICK,,162.893229026
"MULTILINESTRING ((-73.88006432082656 40.667508286297014, -73.87921620587511 40.66787182897503))",833,74165,857,834,858,11208,11208,2022604927,2022604796,NEW LOTS AVE,2,3,3,36,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,NEW LOTS AVE,NEW LOTS,TW,269.998848704
"MULTILINESTRING ((-73.89730701382749 40.85651028215341, -73.89726200671942 40.856577521310804))",2285,119498,2285,2284,2300,10458,10458,1522611370,1522608204,TIEBOUT AVE,2,,2,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,1,13,13,C,,,,AVE,,,TIEBOUT AVE,TIEBOUT,,27.4800412502
"MULTILINESTRING ((-73.86105619622101 40.752797193000774, -73.85999430533985 40.75311225558458))",107-001,97962,107-099,107-000,107-098,11368,11368,92262946,92267979,37 DR,2,,4,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,H,,,,DR,,,37 DR,37,,315.807818366
"MULTILINESTRING ((-73.86339058699102 40.75595331558399, -73.86324200921653 40.75513177856409))",34-001,34626,34-099,34-000,34-098,11368,11368,92266006,92263146,105 ST,2,,4,30,11/29/2007 12:00:00 AM +0000,12/17/2019 12:00:00 AM +0000,FT,1,13,13,C,,,,ST,,,105 ST,105,,302.129916489
"MULTILINESTRING ((-73.84215802163922 40.668701447728004, -73.84117399185742 40.66850744220874, -73.84110240774832 40.66850176048215, -73.84102049057438 40.66850927453072, -73.84093420123247 40.66853504505655, -73.84085411803443 40.66858185140128, -73.84079301858515 40.66864750441263, -73.84076080947392 40.66872413915117, -73.84075979757262 40.66880101458261, -73.84078458945532 40.668869010884094, -73.84082592405849 40.66892338724604, -73.84087489714157 40.66896354632667, -73.8409671755015 40.669040208999135, -73.84107307422674 40.669108515345634, -73.84119049404474 40.6691664633174, -73.84131668196113 40.669212518712484, -73.84144845925339 40.66924568669501, -73.8415824915631 40.66926564636144, -73.84167903983342 40.66927127318804, -73.84178248924852 40.669262244178, -73.8418870174945 40.66923609333778, -73.84198530885335 40.669192264642106, -73.84206984324973 40.66913261036157, -73.84213472083665 40.66906132420407, -73.84217691054282 40.66898394622115, -73.84219661608142 40.668906094606164, -73.84219658215966 40.6688323657524))",,91292,,,,11417,11417,42260560,42262367,N CONDUIT AVE EN CROSS BAY BLVD,2,,4,22,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,9,13,13,C,,,,,,,N CONDUIT AVE EN CROSS BAY BLVD,N CONDUIT AVE EN CROSS BAY BLVD,,1031.88595695
"MULTILINESTRING ((-73.96110997058013 40.76906440780265, -73.9606018063753 40.76974918670643))",1230,3667,1248,1231,1249,10021,10021,1222601548,1222604916,3 AVE,2,,1,70,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,,AVE,,,3 AVE,3,,286.455576401
"MULTILINESTRING ((-74.17855231777668 40.607565778495996, -74.1782831952188 40.60732920520565, -74.17822216286703 40.6072747013705, -74.17814556665283 40.60720587608777, -74.17773740778873 40.60683910319382, -74.17744484989944 40.60657619705805))",,68365,,,,10314,10314,1622600906,1622611223,TELEPORT DR,2,,5,36,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,V,,,,DR,,,TELEPORT DR,TELEPORT,,473.864620782
"MULTILINESTRING ((-73.93483229160476 40.814055471812985, -73.93469166469954 40.814230630076366))",,72676,,,,10037,10037,1322603232,1322605617,HARLEM RIVER DR,2,,1,38,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,C,,,,DR,,,HARLEM RIV DR,HARLEM RIV,,74.7515848965
"MULTILINESTRING ((-74.15439620114735 40.552839753206364, -74.15437140482229 40.55278286516853))",,165186,,,,10308,10308,1722700523,1722700521,KATAN LOOP,2,,5,20,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,V,,,,LOOP,,,KATAN LOOP,KATAN,,21.841152369
"MULTILINESTRING ((-73.89080782663477 40.75157571533915, -73.89092217093153 40.75225251789928))",,108144,,,,,,92270594,92270274,ALLEY,2,,4,20,11/29/2007 12:00:00 AM +0000,11/07/2015 12:00:00 AM +0000,TW,10,13,13,,,,,,,,ALLEY,ALLEY,,248.607891208
"MULTILINESTRING ((-74.09024241180502 40.59173403812963, -74.09075425643248 40.591159875591906))",2,86090,28,1,23,10305,10305,1722601644,1722609035,HENRY PL,2,,5,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,S,,,,PL,,,HENRY PL,HENRY,,252.913734078
"MULTILINESTRING ((-73.76118631671221 40.71338193242503, -73.76077556463746 40.71338778891115))",0,6552,0,198-000,198-008,11423,11423,72268163,72261593,JAMAICA AVE,2,,4,32,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,,AVE,,,JAMAICA AVE,JAMAICA,,113.890797614
"MULTILINESTRING ((-73.83694456042157 40.82882144785186, -73.83641785230809 40.82893132780148))",,77257,,,,10465,10465,1322600033,1422601568,CROSS BRONX EXPWY ET 6 B EB,2,,2,24,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,FT,9,17,17,C,,,,,,,INTERSTATE 95 EXIT 6 B NB,INTERSTATE 95 EXIT 6 B NB,,151.161275938
"MULTILINESTRING ((-74.13007173885158 40.55778472751126, -74.12960724895947 40.55748509822142))",171,59155,179,170,184,10306,10306,1722609904,1722611076,BUFFALO ST,2,,5,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,C,,,,ST,,,BUFFALO ST,BUFFALO,,169.042118249
"MULTILINESTRING ((-73.80749294356158 40.7387906842098, -73.80656916166264 40.73879133377817))",161-001,11324,161-099,0,0,11365,11365,82268982,82264551,HORACE HARDING EXPY,2,,4,32,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,C,,,,,,,HARDING XW,HARDING XW,,255.998078054
"MULTILINESTRING ((-74.16360258168741 40.595575197595394, -74.16314673392378 40.59562148405561))",2,102016,80,1,81,10314,10314,1622611478,1622603122,DOE CT,2,,5,40,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,H,,,,CT,,,DOE CT,DOE,,127.71399455
"MULTILINESTRING ((-73.89483522924053 40.826246841212225, -73.8938671908673 40.826514968453466))",911,64401,929,914,928,10459,10459,1422603142,1422607267,E 167 ST,2,,2,44,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,C,,E,,ST,,,E  167 ST,167,,285.164212388
"MULTILINESTRING ((-73.73714147693826 40.72867540073816, -73.73634595768684 40.72849097647264, -73.73549494453985 40.72830326536308))",0,31416,0,222-040,222-078,11428,11428,72262952,72262699,BRADDOCK AVE,2,3,4,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,,AVE,,,BRADDOCK AVE,BRADDOCK,FT,476.08197171
"MULTILINESTRING ((-73.86744114749254 40.69420955989721, -73.86718551395863 40.693519291670086))",85-013,100068,85-057,85-020,85-056,11421,11421,2022613849,2022613850,75 ST,2,,4,36,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,H,,,,ST,,,75 ST,75,,261.285190638
"MULTILINESTRING ((-73.74973504401287 40.73722466154986, -73.74881773102732 40.73738319843997))",222-001,27326,222-099,222-000,222-098,11364,11364,82261578,82266663,KINGSBURY AVE,2,,4,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,S,,,,AVE,,,KINGSBURY AVE,KINGSBURY,,260.690312868
"MULTILINESTRING ((-73.96871613305103 40.69908497139131, -73.96869773674436 40.699466114042764))",,138352,,,,11251,11251,1922603647,1922604543,ASSEMBLY RD,2,,3,35,08/20/2011 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,V,,,,RD,,,ASSEMBLY RD,ASSEMBLY,,138.955249411
